Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Avg_Trading
2021-06-22,3296.81,3319.81,3277.85,3294.01,1708688,0,0,3297.12
2015-12-29,1098.4,1101.51,1092.77,1097.26,1708524,0,0,1097.48
2019-09-09,2097.57,2100.28,2078.31,2081.22,1703945,0,0,2089.34
2015-07-14,1112.22,1113.99,1102.92,1107.13,1703274,0,0,1109.07
2003-01-10,44.61,44.61,41.09,41.32,1702816,0,0,42.91
2017-09-01,1147.3,1155.65,1127.2,1136.4,1702330,0,0,1141.63
2019-05-13,2012.66,2044.74,2001.95,2008.65,1701744,0,0,2017
2014-09-04,1146.08,1148.46,1126.6,1129.79,1701598,0,0,1137.73
2014-01-29,954.91,954.91,939.99,942.04,1698076,0,0,947.96
2011-06-02,473.09,478.43,472.17,476.7,1697654,0,0,475.1
2014-09-08,1141.71,1158.32,1136.05,1155.12,1697342,0,0,1147.8
2013-03-18,655.11,660.91,652.82,658.09,1694988,0,0,656.73
2010-03-23,332.51,333.71,329.34,331.97,1694964,0,0,331.88
2014-04-04,925.92,932.32,908.02,911.79,1694656,0,0,919.51
2021-06-30,3338.71,3374.64,3331.23,3338.46,1693146,0,0,3345.76
2011-11-08,452.91,460.67,452.91,456.73,1692104,0,0,455.8
2019-01-08,1794.06,1795,1773.25,1782.9,1691756,0,0,1786.3
2007-09-07,206.46,207.9,205.12,206.31,1691576,0,0,206.45
2021-09-13,3767,3852.4,3767,3845.35,1691473,0,0,3807.94
2015-08-19,1220.7,1221.97,1208.23,1213.42,1690070,0,0,1216.08
2016-07-25,1139.7,1162.93,1136.89,1161,1688796,3.25,0,1150.13
2021-05-21,3039.47,3066.48,3033.61,3058.83,1685566,0,0,3049.59
2012-10-08,547.67,549.87,537.41,540.44,1685408,0,0,543.84
2014-10-09,1183.67,1190.35,1174.27,1182.81,1685176,0,0,1182.78
2017-10-05,1129.25,1130.39,1121.57,1123.98,1684686,0,0,1126.3
2019-02-08,1957.93,1971.61,1935.29,1945.1,1684474,0,0,1952.48
2010-11-23,421.39,425.87,412.59,419.78,1684448,0,0,419.91
2010-06-03,304.46,308.07,298.5,306.65,1684434,0,0,304.42
2019-01-18,1774.88,1796.77,1770.16,1793.42,1683728,0,0,1783.81
2017-05-05,1052.95,1064.13,1050.44,1058.66,1682474,0,0,1056.55
2021-07-02,3323.75,3332.43,3288.02,3318.21,1682274,0,0,3315.6
2011-05-24,474.62,478.76,465.02,469.41,1681994,0,0,471.95
2018-06-04,1636.28,1640.03,1605.9,1635.57,1681483,0,0,1629.44
2018-09-05,1973.13,1979.94,1949.68,1953.63,1681106,0,0,1964.1
2018-12-07,1869.05,1886.8,1857.71,1878.61,1680420,0,0,1873.04
2016-09-21,1092.38,1099.78,1089.21,1094.97,1678020,0,0,1094.08
2012-11-19,540.59,542.64,527.35,528.96,1676286,0,0,534.88
2002-08-28,30.47,30.93,29.96,30.59,1674960,0,0,30.49
2012-11-02,555.17,560.66,552.45,557.81,1673974,0,0,556.52
2021-09-27,3900,3904,3802.9,3836.95,1673362,0,0,3860.96
2014-08-07,1088.38,1090.56,1074.85,1079.55,1672656,0,0,1083.34
2013-04-09,621.58,635.44,620.57,628.88,1672354,0,0,626.62
2017-06-20,1121.47,1129.77,1098.08,1127.93,1670958,0,0,1119.31
2019-08-29,2118.73,2143.52,2118.73,2129.46,1670652,0,0,2127.61
2014-02-17,920.81,931.89,915.35,923.11,1670394,0,0,922.79
2014-03-12,917.82,933.49,917.82,929.1,1669788,0,0,924.56
2013-12-30,923.42,925.66,913.51,917.49,1668776,0,0,920.02
2013-11-06,877.89,895.15,876.21,889.85,1667750,0,0,884.77
2012-07-25,503.35,508.79,500.39,507.18,1666030,0,0,504.93
2010-12-27,466.63,472.52,463.86,465.08,1664936,0,0,467.02
2013-03-21,656.43,661.22,652.53,655.15,1664604,0,0,656.33
2017-05-22,1145.11,1165.07,1145.11,1154.85,1663940,0,0,1152.53
2020-08-25,2215.53,2220.46,2204.23,2213.21,1663419,0,0,2213.36
2018-04-02,1320.54,1354.95,1320.54,1352.92,1662988,0,0,1337.24
2016-03-10,1055.24,1056.94,1036.83,1051.77,1661666,0,0,1050.19
2021-07-28,3188,3204.45,3132.4,3197.8,1660654,0,0,3180.66
2010-02-16,299.36,306.45,297.33,303.72,1660490,0,0,301.72
2009-12-10,281.68,283.68,280.47,281.94,1659484,0,0,281.94
2016-02-24,1013.32,1013.32,985.88,990.25,1659328,0,0,1000.69
2013-07-08,647.47,650.44,635.6,638.42,1658796,0,0,642.98
2013-11-20,871.02,872.32,858.32,861.13,1658696,0,0,865.69
2017-06-21,1125.62,1126.61,1105.87,1110.07,1657818,0,0,1117.04
2014-09-17,1119.41,1138.54,1119.41,1132.61,1657700,0,0,1127.49
2017-11-14,1278.7,1278.7,1255.95,1259.24,1657252,0,0,1268.15
2013-07-02,632.68,639.21,629.95,635.84,1657242,0,0,634.42
2019-07-03,2142.33,2148.61,2123.12,2128.49,1656881,0,0,2135.64
2013-12-12,870.23,878.32,861.76,863.38,1655964,0,0,868.42
2006-01-02,160.91,161.18,158.4,158.99,1653504,0,0,159.87
2017-11-16,1257.11,1281.7,1246.42,1274.11,1653482,0,0,1264.83
2019-06-19,2145,2164.97,2133.72,2149.66,1652817,0,0,2148.34
2021-05-31,3143.14,3163.45,3121.79,3152.27,1652799,0,0,3145.16
2019-09-19,2035.59,2036.36,1993.64,2004.08,1652691,0,0,2017.42
2015-12-11,1064.73,1068.73,1055.91,1066.07,1652378,0,0,1063.86
2021-05-24,3059.82,3083.16,3050.39,3059.82,1652260,0,0,3063.3
2015-04-08,1138.4,1165.83,1137.02,1159.2,1652134,0,0,1150.11
2018-05-16,1618.1,1631.61,1615.92,1624.59,1648450,0,0,1622.55
2012-07-24,505.07,509.48,500.47,505.51,1648092,0,0,505.13
2019-08-13,2140.47,2141.66,2092.13,2097.04,1647281,0,0,2117.83
2019-07-29,2012.52,2042.27,2005.37,2030.83,1647090,0,0,2022.75
2013-07-23,740.69,754.44,738.83,741.45,1646502,0,0,743.85
2020-02-13,2117.88,2141.32,2115.98,2136.4,1645948,0,0,2127.89
2014-11-13,1136.57,1140.9,1123.49,1133.7,1645540,0,0,1133.67
2017-06-19,1114.96,1128.55,1109.54,1121.79,1644742,0,0,1118.71
2014-12-22,1106.35,1107.66,1083.75,1100.83,1643954,0,0,1099.65
2012-08-08,528.86,529.55,521.08,522.25,1643000,0,0,525.43
2015-07-07,1166.15,1172.42,1152.97,1158.84,1642836,0,0,1162.6
2015-12-02,1062.5,1062.54,1048.43,1056.78,1640296,0,0,1057.56
2021-04-28,3127.79,3128.83,3090.11,3102.12,1639037,0,0,3112.21
2016-03-14,1057.9,1074.03,1048.05,1054.77,1636742,0,0,1058.69
2021-06-16,3255,3287.53,3245.92,3267.22,1635552,0,0,3263.91
2012-10-11,539.41,544.14,537.66,539.08,1635526,0,0,540.07
2006-10-03,196.25,196.25,191.32,192.33,1632712,0,0,194.04
2012-02-13,506.45,512.98,503.05,507.9,1631770,0,0,507.6
2016-01-27,1031.03,1043.55,1022.03,1038.98,1626986,0,0,1033.9
2017-06-12,1139.18,1146.43,1127.04,1134.71,1626506,0,0,1136.84
2005-12-26,157.71,157.71,156.03,156.66,1625280,0,0,157.03
2010-12-24,462.14,468.17,458.78,465.04,1624640,0,0,463.53
2017-08-24,1155.48,1164.85,1150.14,1154.98,1623908,0,0,1156.36
2016-03-15,1052.1,1058.57,1039.14,1043.53,1623356,0,0,1048.34
2016-05-13,1148.82,1149.27,1124.26,1130.19,1621730,0,0,1138.14
2021-04-29,3123.47,3135.14,3083.65,3093.33,1621395,0,0,3108.9
2015-05-27,1144.55,1155.58,1137.52,1147.73,1620690,0,0,1146.35
2020-02-12,2096.58,2129.62,2095.51,2115.73,1620407,0,0,2109.36
2015-12-17,1079.03,1092.44,1069.36,1090.09,1618844,0,0,1082.73
2016-01-20,1015.94,1020.95,1002.18,1018.76,1615954,0,0,1014.46
2021-04-23,3083.16,3097.06,3069.31,3087.63,1615309,0,0,3084.29
2015-02-23,1172.2,1194.58,1172.2,1183.45,1614892,0,0,1180.6
2014-09-26,1184.54,1191.05,1167.1,1173.18,1612712,0,0,1178.97
2019-11-18,2118.38,2127.47,2089.55,2093.29,1611089,0,0,2107.17
2018-12-03,1868.06,1873.71,1853.28,1866.56,1610576,0,0,1865.4
2015-12-21,1081.24,1094.67,1075.39,1093.06,1610104,0,0,1086.09
2013-11-08,906.4,907.15,881.38,889.74,1609346,0,0,896.17
2014-03-03,968.47,980.06,949.8,954.93,1606078,0,0,963.31
2015-12-30,1096.03,1098.69,1077.83,1080.51,1605762,0,0,1088.26
2018-06-01,1644.72,1648,1609.37,1624.51,1603856,0,0,1631.65
2011-07-04,490.33,493.21,484.99,487.33,1603734,0,0,488.97
2016-04-13,1133.15,1139.87,1125.31,1131.45,1601468,0,0,1132.44
2017-09-25,1154.95,1172.28,1153.19,1161.52,1599558,0,0,1160.49
2012-11-16,544.65,547.58,536.4,539.2,1598890,0,0,541.96
2016-05-11,1119.71,1131.18,1115.23,1127.91,1598716,0,0,1123.51
2012-10-17,544.03,545.54,531.78,536.44,1597480,0,0,539.45
2021-07-19,3180,3199.8,3176,3184.6,1597058,0,0,3185.1
2015-11-05,1130.77,1132.63,1108.07,1109.26,1596098,0,0,1120.18
2015-01-12,1102.4,1107.22,1086.31,1099.21,1596006,0,0,1098.79
2012-12-04,551.06,553.87,541.76,544.5,1595120,0,0,547.8
2016-12-06,996.28,1002.62,987.13,992.8,1593444,0,0,994.71
2015-09-11,1130.37,1140.09,1127.75,1132.81,1592672,0,0,1132.76
2017-10-31,1206.69,1224.64,1206.69,1217.22,1592634,0,0,1213.81
2013-10-01,820.51,830.21,814.01,827.75,1591994,0,0,823.12
2019-02-04,1915.42,1939.49,1908.87,1934.58,1590764,0,0,1924.59
2015-09-14,1138.58,1138.58,1128.82,1132.66,1589318,0,0,1134.66
2012-06-25,515.88,516.51,505.04,507.44,1588758,0,0,511.22
2016-12-09,1003.1,1009.88,988.68,998.67,1588718,0,0,1000.08
2016-02-16,1014.91,1022.07,1004.6,1014.7,1588702,0,0,1014.07
2012-03-27,486.06,488.82,477.34,486.79,1588246,0,0,484.75
2013-12-18,868.1,881.3,867.25,874.83,1587990,0,0,872.87
2014-02-20,940.42,947.24,930.53,933.32,1587924,0,0,937.87
2014-07-14,1041.03,1049.72,1026.59,1044.23,1587924,0,0,1040.39
2018-08-20,1901.72,1901.72,1882.65,1888.52,1587032,0,0,1893.65
2015-03-13,1157.71,1158.57,1130.06,1133.29,1586838,0,0,1144.91
2013-05-24,629.98,631.21,614.69,617.19,1586612,0,0,623.27
2011-12-29,480.8,486.83,479.15,481.71,1585728,0,0,482.12
2016-02-17,1014.46,1021.02,1006.13,1019.18,1585178,0,0,1015.2
2021-09-07,3864,3869.95,3808.25,3815.9,1585039,0,0,3839.52
2014-11-26,1151.92,1163.44,1145.33,1150.71,1584800,0,0,1152.85
2006-09-07,185.88,188.67,185.88,187.09,1583584,0,0,186.88
2012-05-30,510.2,520.87,510.2,514.05,1581514,0,0,513.83
2014-04-03,926.28,930.19,915.52,923.58,1581194,0,0,923.89
2012-11-01,550.98,553.26,549.01,551.13,1579768,0,0,551.09
